show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s70,Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,"October 8, 2021",2021,TV-Y,47 min,"Animation, Family, Fantasy"
s71,Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,"October 8, 2021",2021,TV-PG,53 min,"Comedy, Family, Musical"
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",,"October 8, 2021",2021,TV-PG,85 min,"Family, Variety"
s73,Movie,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",,"October 8, 2021",2021,TV-G,92 min,"Action-Adventure, Comedy, Kids"
s74,TV Show,Among the Stars,,Chris Cassidy,,"October 6, 2021",2021,TV-PG,1 Season,Docuseries
s75,Movie,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",United States,"October 6, 2021",2021,PG-13,135 min,"Action-Adventure, Science Fiction, Spy/Espionage"
s76,TV Show,Drain the Oceans,,Russell Boulter,"United Kingdom, Australia","October 6, 2021",2017,TV-PG,4 Seasons,"Docuseries, Historical"
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,,"October 6, 2021",2021,TV-14,1 Season,"Docuseries, Historical"
s78,Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",United States,"October 6, 2021",2021,PG-13,105 min,"Biographical, Documentary"
s79,TV Show,IMPACT with Gal Gadot,,Gal Gadot,United States,"October 6, 2021",2021,TV-14,1 Season,Docuseries
s80,TV Show,The Ghost and Molly McGee,,"Ashly Burch, Dana Snyder",United States,"October 6, 2021",2021,TV-Y7,1 Season,"Animation, Buddy, Coming of Age"
s81,Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,"October 1, 2021",2007,PG,91 min,"Animation, Comedy, Family"
s82,Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,"October 1, 2021",2015,PG,92 min,"Comedy, Family, Music"
s83,Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",,"October 1, 2021",2021,TV-Y7-FV,47 min,"Action-Adventure, Animation, Science Fiction"
s84,Movie,Maleficent,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple","United States, United Kingdom","October 1, 2021",2014,PG,99 min,"Action-Adventure, Family, Fantasy"
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",,"October 1, 2021",2017,TV-G,22 min,"Animation, Family, Parody"
s86,TV Show,Disney Vampirina,,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield","Ireland, United States","September 29, 2021",2017,TV-Y7,3 Seasons,"Animation, Fantasy, Kids"
s87,TV Show,Disney's Magic Bake-Off,,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",United States,"September 29, 2021",2021,TV-G,1 Season,"Family, Game Show / Competition"
s88,TV Show,Great Barrier Reef,,Don Halbert,,"September 29, 2021",2020,TV-PG,1 Season,"Animals & Nature, Docuseries"
s89,TV Show,Ready for Preschool,,,,"September 29, 2021",2019,TV-Y,2 Seasons,"Kids, Music"
s90,TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France","September 29, 2021",1998,TV-Y,5 Seasons,"Animation, Science Fiction"
s91,TV Show,Star Wars Galaxy of Sounds,,,,"September 29, 2021",2021,TV-PG,1 Season,"Animation, Anthology, Science Fiction"
s92,TV Show,The Hatcher Family Dairy,,,,"September 29, 2021",2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality"
s93,TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,"September 29, 2021",1989,TV-PG,32 Seasons,"Animation, Comedy"
s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,"September 24, 2021",2021,TV-PG,88 min,Documentary
s95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada","September 24, 2021",2011,G,93 min,"Comedy, Fantasy, Kids"
s96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,"September 24, 2021",2014,PG-13,127 min,"Coming of Age, Drama, Romance"
s97,TV Show,Dog: Impossible,,Matt Beisner,United States,"September 22, 2021",2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family"
s98,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,"September 22, 2021",2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids"
s99,TV Show,Star Wars: Visions,,,,"September 22, 2021",2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime"
s100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,"September 17, 2021",2009,PG,106 min,"Comedy, Romance, Romantic Comedy"
s101,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,"September 17, 2021",2021,TV-G,22 min,"Animation, Fantasy, Musical"
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,"September 17, 2021",2016,TV-G,116 min,"Concert Film, Music"
s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,"September 17, 2021",2021,TV-PG,44 min,Documentary
s104,Movie,Jade Eyed Leopard,,Jeremy Irons,,"September 17, 2021",2020,TV-PG,44 min,"Animals & Nature, Documentary"
s105,Movie,Nona,Louis Gonzales,,,"September 17, 2021",2021,G,9 min,"Animation, Comedy, Family"
s106,Movie,Smoky Mountain Park Rangers,,Peter Jessop,,"September 17, 2021",2021,TV-PG,42 min,"Animals & Nature, Documentary"
s107,TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,"September 15, 2021",2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries"
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen","France, South Korea, Japan, United States","September 15, 2021",2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy"
s109,TV Show,Unknown Waters with Jeremy Wade,,Jeremy Wade,,"September 15, 2021",2021,TV-14,1 Season,"Animals & Nature, Docuseries"
s110,Movie,Far Away From Raven’s Home,,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",,"September 10, 2021",2021,TV-G,11 min,Comedy
s111,Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin","United States, United Kingdom","September 10, 2021",2011,PG-13,140 min,"Action-Adventure, Fantasy"
s112,Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,"September 10, 2021",2021,PG,11 min,"Animation, Family"
s113,TV Show,"Doogie Kamealoha, M.D.",,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,"September 8, 2021",2021,TV-PG,1 Season,"Comedy, Coming of Age, Family"
s114,TV Show,"Mira, Royal Detective",,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",United States,"September 8, 2021",2020,TV-Y,2 Seasons,"Animation, Fantasy, Kids"
s115,TV Show,Pepper Ann,,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",United States,"September 8, 2021",1997,TV-Y,3 Seasons,"Animation, Comedy, Coming of Age"
s116,TV Show,The Incredible Dr. Pol,,"Rick Robles, Dr. Pol",United States,"September 8, 2021",2011,TV-14,19 Seasons,"Animals & Nature, Docuseries, Family"
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",United States,"September 3, 2021",2021,TV-14,66 min,"Concert Film, Music"
s118,Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada","September 3, 2021",2019,PG-13,115 min,"Action-Adventure, Family, Science Fiction"
s119,TV Show,Alaska Animal Rescue,,Victoria Vosburg,United States,"September 1, 2021",2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family"
s120,TV Show,Dug Days,,"Bob Peterson, Ed Asner, Jordan Nagai",United States,"September 1, 2021",2021,TV-PG,1 Season,"Animation, Comedy, Family"
s121,Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste","United States, United Kingdom","August 27, 2021",2021,PG-13,137 min,"Crime, Drama"
s122,Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",United States,"August 27, 2021",2007,PG-13,99 min,"Comedy, Drama, Romance"
s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",,"August 27, 2021",2021,TV-G,22 min,"Family, Music, Variety"
s124,Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",United States,"August 27, 2021",2014,TV-14,14 min,"Comedy, Drama, Thriller"
s125,Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,"August 27, 2021",2007,PG,85 min,"Action-Adventure, Family, Parody"
s126,TV Show,Dr. K's Exotic Animal ER,,"Dr. Susan Kelleher, Art Edmonds",,"August 25, 2021",2014,TV-14,9 Seasons,"Animals & Nature, Docuseries, Family"
s127,TV Show,Gigantosaurus,,"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes",France,"August 25, 2021",2018,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids"
s128,TV Show,Life Below Zero: Next Generation,,Mocean Melvin,United States,"August 25, 2021",2020,TV-14,2 Seasons,"Action-Adventure, Animals & Nature, Docuseries"
s129,Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund","United States, United Kingdom, Hungary","August 20, 2021",2006,PG,104 min,"Action-Adventure, Family, Fantasy"
s130,TV Show,Growing Up Animal,,Tracee Ellis Ross,,"August 18, 2021",2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
s131,Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany","August 13, 2021",2005,PG-13,106 min,"Action-Adventure, Family, Science Fiction"
s132,Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",United States,"August 13, 2021",2000,PG-13,105 min,"Action-Adventure, Family, Science Fiction"
s133,TV Show,America's Funniest Home Videos: Animal Edition,,Alfonso Ribeiro,,"August 11, 2021",2021,TV-PG,1 Season,Reality
s134,TV Show,Chicken Squad,,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",United States,"August 11, 2021",2021,TV-Y,1 Season,"Animation, Kids, Police/Cop"
s135,TV Show,Disney Presents Goofy in How to Stay at Home,,"Bill Farmer, Corey Burton",,"August 11, 2021",2021,TV-G,1 Season,"Animation, Comedy, Family"
s136,TV Show,Gabby Duran And The Unsittables,,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",United States,"August 11, 2021",2018,TV-G,2 Seasons,"Comedy, Family, Science Fiction"
s137,TV Show,What If...?,,,,"August 11, 2021",2021,TV-14,1 Season,"Action-Adventure, Animation, Anthology"
s138,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,"August 6, 2021",2011,G,88 min,"Action-Adventure, Comedy, Family"
s139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",United States,"August 6, 2021",2012,G,92 min,"Comedy, Coming of Age, Family"
s140,Movie,Killer Shark vs Killer Whale,,Edward Marcoux,,"August 6, 2021",2021,TV-14,44 min,"Animals & Nature, Documentary"
s141,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,"August 6, 2021",1993,PG-13,126 min,"Comedy, Drama"
s142,TV Show,Cesar Millan: Better Human Better Dog,,Dustin Rubin,,"August 4, 2021",2021,TV-14,1 Season,"Animals & Nature, Docuseries, Family"
